Program Code,Program Name,Years,Courses
BP094,Bachelor of Computer Science,Year 1,"COSC2801,MATH2411,COSC2803,COSC2802,MATH2412,COSC2804"
BP094,Bachelor of Computer Science,Year 2,"COSC1107,COSC2123,ISYS1118,COSC1076,COSC1114,COSC2299,Elective,Elective"
BP094,Bachelor of Computer Science,Year 3,"COSC2626,COSC1147,COSC1127,COSC2408,Elective,Elective,Elective,Elective"
BP094,Bachelor of Computer Science,Elective Courses,"COSC2815,COSC2960,COSC2391,COSC2973,COSC2123,COSC2673,COSC2738,COSC1073,COSC2803,COSC2628,COSC2276,COSC2413,COSC3044"
Total Credit,288,Top 5 Electives,"COSC2391,COSC2673,COSC2276,COSC2413"
,,Easiest Courses,"COSC2801,COSC2803,MATH2412,COSC2299,COSC2123"
