Program Code,Program Name,Years,Courses
BP096,Bachelor of Software Engineering,Year 1,"COSC2801,MATH2411,COSC2803,COSC2802,MATH2412,COSC2804"
BP096,Bachelor of Software Engineering,Year 2,"COSC1107,ISYS1118,COSC1076,COSC2299,COSC2123,COSC1114,COSC1147,Elective"
BP096,Bachelor of Software Engineering,Year 3,"INTE2376,INTE2377,INTE2374,INTE2375"
BP096,Bachelor of Software Engineering,Year 4,"ISYS1084,COSC2410,Elective,Elective,Elective,Elective,Elective"
BP096,Bachelor of Software Engineering,Elective Courses,"ISYS2405,COSC1204,COSC1127,COSC2626,COSC1111,ISYS1102,COSC2406,COSC2972,COSC1235,INTE2547,COSC2353,COSC2973,COSC1187,COSC2471,INTE2511,COSC2673,COSC2309,COSC2738,COSC1179,COSC2814,COSC2674,COSC2675,COSC1226,COSC1093,INTE1071,COSC2274,ISYS1087,ISYS1089,COSC1133,COSC1183,INTE1113,ISYS1126,COSC2276,COSC2758,COSC2799,COSC2800"
Total Credits,384,Top 5 Electives,"COSC2626,ISYS1089,COSC2674,COSC1127,ISYS2405"
